Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
September,44.29859603883231,Lawyer,45632.77600297784,6529.276779520627,0,3,8.65286342667913,1.9994922511964406,"Not Specified, Mortgage Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan",5,8.994216063595708,0.7145605392709784,2.774699341838857,Good,423.93610263871426,28.241723125899334,20.70265313610078,No,72.2215955749381,57.80009510198287,Low_spent_Medium_value_payments,612.1287062655318
September,18.193181053622695,Lawyer,49165.72162777772,936.9337715481269,5,3,17.630018463710243,3.989531897588979,"Home Equity Loan, and Not Specified",12,14.05386343736996,9.899749878163185,9.404209179000333,Standard,1402.7071405592426,27.606138843526573,18.852792675237303,NM,188.75875437090963,388.46975053920926,Low_spent_Small_value_payments,297.4637729809889
December,34.04477940431814,Teacher,-24655.429960098918,1319.0007232672115,4,9,22.08611692247051,7.021617971565435,"Credit-Builder Loan, Student Loan, Student Loan, and Mortgage Loan",42,22.36937187679085,7.424010316734126,7.036495300926741,Bad,2661.338614018593,26.949600484209167,14.251298021909331,Yes,75.00901767208647,79.29496588821367,Low_spent_Small_value_payments,266.30178252979806
December,29.255320572116364,Writer,37694.47258975732,2756.0734583706253,6,5,18.79991176491816,7.01333225429548,"Mortgage Loan, Home Equity Loan, Auto Loan, Mortgage Loan, Debt Consolidation Loan, and Personal Loan",22,15.212785455745957,12.890679373849785,10.239952343658967,Standard,1971.885034898263,38.83384500111282,16.783486842523047,Yes,47.12822475164171,116.70574969585653,Low_spent_Small_value_payments,93.49168826027116
December,43.838434365300095,Teacher,40468.50318730346,3371.4825079873544,3,6,15.80908891991114,5.001054464003225,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Auto Loan, and Payday Loan",38,15.908802786645317,7.26477628424333,4.988937295464434,Standard,467.6893707891491,39.59583924601402,30.6436097392596,NM,49.61004729526387,99.27736982235211,High_spent_Medium_value_payments,629.7699981804503
October,43.09702854157191,Journalist,60014.07882688212,3049.72463009415,2,2,5.166691163342499,1.0042755612890415,Not Specified,4,2.3756081762533015,6.539513712396861,0.5995713227625825,Good,815.04283021406,35.292189842659106,20.627800026003445,No,22.26114657901735,85.82031365255163,Low_spent_Small_value_payments,766.7168694987831
September,43.36309243179972,Manager,40181.29128315297,2588.340964456917,7,6,16.745120017246006,2.9965324023897377,"Payday Loan, Home Equity Loan, and Payday Loan",36,14.048971258411587,1.0924124325933517,12.319078034275703,Standard,1376.7010047297783,36.94748532634915,18.87176171514193,Yes,120.80951505450633,60.6938033865622,Low_spent_Small_value_payments,270.6939578273451
October,23.064108490428595,Scientist,99776.21275323909,3717.942605096089,4,7,8.49295799162296,0.9842410779656365,"Student Loan, Credit-Builder Loan, Personal Loan, and Personal Loan",-3,13.964588392469235,13.98560891468859,3.5500664128165145,_,428.5932129209399,38.072988310352564,31.247912743984273,No,1909.7109302425574,162.2017050051976,Low_spent_Small_value_payments,621.4648096178364
December,26.390665233959293,Journalist,30540.003587983178,4953.296985808326,6,9,24.936975794576455,6.014783131851401,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Auto Loan",53,15.64916777502961,28.82677966542396,17.90518422856157,Bad,4629.9613089560735,22.6403092345904,5.731906603527275,Yes,26.22191423692751,64.5144524600857,High_spent_Medium_value_payments,321.0323175936084
December,35.29965419708582,Manager,73671.3098944344,13667.3516064615,3,5,10.211063616453004,2.0004746198172407,"Student Loan, Mortgage Loan, Credit-Builder Loan, Not Specified, Debt Consolidation Loan, Auto Loan, and Debt Consolidation Loan",5,9.61326795000209,9.025920919423548,0.187903390031686,Good,1493.5901786705517,36.412131894789,26.942800294510626,No,58.42180430561522,233.30678535020564,High_spent_Large_value_payments,694.0368790187847
November,34.28402165698502,Media_Manager,16794.267063371226,1824.2378750848388,2,6,5.602841539688445,1.0025079898940554,"Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, Auto Loan, Credit-Builder Loan, and Not Specified",1,3.0380896988454085,0.731132011611844,0.6404597038936989,Standard,134.47052459228883,39.61456833415627,30.401552001044426,No,66.52280558557729,746.5324765363597,Low_spent_Small_value_payments,175.82401837332907
September,34.05840430992914,Entrepreneur,4348.959105414426,1061.667651554425,5,9,16.68284615075414,5.0073903853900985,"Auto Loan, Mortgage Loan, and Personal Loan",21,15.665942412084847,15.362198270073566,9.656917439653123,Standard,1294.1427638426476,30.503288891188493,15.320639088398824,Yes,45.718591962951734,131.35438195356164,Low_spent_Small_value_payments,327.9629233310133
November,52.6190442822087,Media_Manager,33644.65507193383,5687.088765715094,1,6,6.132535252580519,1.9771261230101975,"Mortgage Loan, Auto Loan, Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, and Auto Loan",-3,3.132247581626788,9.421496991640032,1.748943923967131,Good,572.2817224843733,35.66183536728206,18.802609576656632,Yes,57.1854518914442,70.977740629805,High_spent_Medium_value_payments,290.4768620249324
December,36.6943009931365,Entrepreneur,50575.82492781827,3109.809124152115,4,3,12.341696906968545,-0.0016079669546580429,Debt Consolidation Loan,27,9.830809616455255,17.288525974392012,7.045210222595981,Standard,1337.231315188719,34.3624093345029,30.345419660585563,NM,68.78125333289533,152.02213124261056,Low_spent_Large_value_payments,447.40757562163236
November,23.839923789325194,Media_Manager,49838.99157903009,3063.7909548412076,2,6,10.827717590080228,4.011517975670132,Home Equity Loan,4,13.916252611799237,3.868393920426203,9.60056694478052,Standard,224.47900944274878,32.36044005449454,27.868120849842484,Yes,48.35767207491546,88.92368930622521,High_spent_Medium_value_payments,327.89087498497673
September,38.148215331251734,Architect,8163.032682027675,1222.0987659276484,7,9,24.86956776325396,8.053685566807019,"Payday Loan, and Mortgage Loan",41,15.506459825446209,24.742966325424916,7.520348886870481,Bad,3101.7732252750334,35.26662092872179,7.829135286510943,Yes,115.72357744163321,157.18400659509763,Low_spent_Small_value_payments,276.8837251327648
November,37.23383949853996,Journalist,76858.39096644327,6628.867657958173,2,6,7.711455189632742,1.99267948873161,"Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan",-2,1.9439139582829683,11.899893392700749,2.6590350321456526,_,1330.264439864463,31.36685624071798,20.039752639396525,No,1518.147903661934,1223.6164642588192,High_spent_Medium_value_payments,195.19451262400486
October,18.62445173952416,Accountant,34342.31398659048,1596.2875604834962,9,7,24.865580223344242,8.943970859751806,"Not Specified, Home Equity Loan, Payday Loan, Student Loan, Payday Loan, Mortgage Loan, and Student Loan",32,14.064664227794209,0.7850918662225997,15.26626542007209,Bad,1411.0507539368582,38.433704113578784,18.780933382502216,NM,57.61431829047941,348.9318241796754,High_spent_Small_value_payments,236.46115132034294
October,21.47644374889394,Scientist,31541.10546487658,2680.127568900823,7,7,13.453974214187093,4.002739159975814,"Personal Loan, and Auto Loan",7,21.892870694939564,6.858856851899455,8.86846345810992,Bad,2011.502141242566,38.08455437880053,18.76303999904641,No,77.39885570588858,360.9221959864371,Low_spent_Small_value_payments,374.7589723029614
October,28.994085547681617,Manager,72444.90928570146,6445.947454591664,7,2,6.806837258032546,2.005016570734262,"Home Equity Loan, Student Loan, Personal Loan, and Credit-Builder Loan",1,14.013858683923223,8.384967205942832,4.115523590905355,Good,1505.4395587757608,23.684703853882134,17.399015610072745,No,650.3060241726852,143.06987909477797,Low_spent_Small_value_payments,673.7257154837209
November,33.157196795665676,Journalist,7495.7799868449365,933.5927931258569,9,9,23.159721497337042,7.952017357740615,"Credit-Builder Loan, and Payday Loan",38,20.743898224827028,2.64291387228962,17.60363781183822,Bad,4760.8469541978875,31.259363291153452,15.755293231784327,NM,72.60319035662809,39.89716491523606,Low_spent_Small_value_payments,298.65422206573476
October,37.02511494239072,Mechanic,40723.710960983895,1329.1092076024297,3,4,11.390943166596488,2.0099908360229857,"Auto Loan, and Mortgage Loan",1,14.961333841742343,8.58530370288252,7.019572215939863,Standard,1187.3065154606647,33.518908907768136,22.866508186879805,Yes,86.51205041501801,124.9994392055168,High_spent_Medium_value_payments,199.64110437243045
October,23.95974761049858,Entrepreneur,77166.41490547414,3332.3791627526207,7,5,22.11207030829208,5.995290813540489,Student Loan,34,15.746611239525901,26.585256236792954,14.900506776976064,Bad,3940.0108220709058,26.96918576063011,3.1908842669501665,Yes,243.4888305795222,72.29698991201795,High_spent_Medium_value_payments,517.2634418512779
September,47.58992599319,Developer,34553.11954252034,1706.655040964858,5,9,24.14741939694949,8.001564412864266,"Auto Loan, and Student Loan",28,15.19479353449854,21.31889578202524,17.51918425815275,Bad,3509.565192547405,36.59890660954325,2.090781866860912,Yes,74.27279603215621,77.82859777068018,High_spent_Small_value_payments,265.9037072612668
October,29.852136937456017,Developer,-1552.1586766561013,1222.3079452987313,7,7,22.976716941829267,7.987960705577579,"Mortgage Loan, Personal Loan, and Mortgage Loan",50,9.670878760627259,6.419771347413153,7.300853777754918,_,4668.112573479339,26.18977230308533,18.787113862020313,Yes,70.20318732098518,30.656107331234303,High_spent_Small_value_payments,377.90956859286297
October,13.644074664643792,Engineer,38980.606179694354,8084.964747268565,7,6,15.009078179060705,4.000155240692533,Home Equity Loan,16,9.407828543924909,8.347133491036344,9.992719311251948,_,1277.6072902245369,31.783820612260612,17.853697112016025,Yes,45.03619307710895,75.96067729516967,High_spent_Large_value_payments,512.6002071463703
September,28.95693673326153,Journalist,41804.96089569401,1110.0789000975162,8,9,18.88165992966728,4.992494837232123,"Student Loan, and Debt Consolidation Loan",20,15.344743438181471,21.19418515966333,15.797212519663626,Bad,3437.5382527197253,38.13858281906051,11.424333940964841,Yes,73.62336841319751,151.0702023996079,High_spent_Small_value_payments,349.11460856497433
September,34.834326093294315,Scientist,13619.66918112059,985.5835537942214,9,4,17.978756542130046,3.9901036805895527,"Home Equity Loan, Payday Loan, and Not Specified",22,11.970503113942558,11.93540494297388,9.153362413164748,Bad,3519.7848089088866,27.725315530675992,3.765907130189651,Yes,72.77099103099302,46.603347627834275,!@9#%8,341.18984145743883
October,37.38635179013831,Architect,31068.65458073451,6714.336165807797,3,2,11.280532467209552,1.992615996320446,"Personal Loan, Auto Loan, Student Loan, Personal Loan, Auto Loan, Payday Loan, and Payday Loan",18,10.178500561639552,7.2822548066278685,3.4600892156002065,Standard,1682.7816353437154,39.42616737064387,19.378423178025663,Yes,172.83126857868143,299.4186179806112,High_spent_Large_value_payments,303.40608455790795
December,51.5214715586836,Architect,103892.96448955905,13990.290616002976,0,7,6.112335274263235,0.9950734055466199,Auto Loan,-2,1.7842841268571616,0.33812999935477217,3.2132388716955638,Good,542.9879719379138,28.956529504664275,34.84776048704596,No,24.31782852695864,112.24721642860307,High_spent_Medium_value_payments,850.973199960055
October,26.210235259932748,Engineer,11430.85137046536,2914.9670428077998,9,9,25.050007658812294,5.995086243984939,"Debt Consolidation Loan, Student Loan, Student Loan, Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, Payday Loan, and Not Specified",33,22.667679870394277,8.580853415787642,12.538647989057266,Bad,2492.065046487986,36.46608619642754,2.899036791916177,NM,155.62763576114176,26.233359307283315,High_spent_Medium_value_payments,107.01003627035054
November,39.561852696482056,Media_Manager,54612.874274560105,7727.014832465761,9,4,14.575397269034859,3.9970313774235295,"Mortgage Loan, Credit-Builder Loan, Payday Loan, Not Specified, Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Student Loan, and Mortgage Loan",36,13.93429681459826,17.553067149897252,8.498266523795081,Standard,2561.522414122746,27.96472862701367,7.977559526767235,Yes,369.2666530085201,22.783544001002305,High_spent_Large_value_payments,325.7421504970705
October,37.10362981804459,Engineer,32313.53138528829,5616.0547457515895,6,6,15.47090754192916,1.9942462710029067,"Student Loan, Mortgage Loan, Auto Loan, Mortgage Loan, Personal Loan, Not Specified, and Credit-Builder Loan",26,8.871614790228888,10.084711657002181,10.126818976745536,Standard,1934.0788539771445,23.705137138098262,7.124743137338225,Yes,53.970546818790154,51.17518822504622,High_spent_Large_value_payments,284.8368574713406
September,31.80132510040611,Entrepreneur,60319.53289503973,5986.6000108345015,4,7,11.253409428287577,1.9954425138346126,"Mortgage Loan, and Payday Loan",14,17.20632640322718,11.303165144215292,8.057758972772778,Standard,1421.5587902894117,32.16476582523198,5.8406399110052964,Yes,132.25910425589393,270.98822579238083,Low_spent_Medium_value_payments,387.7340177753647
September,52.0705622902333,Manager,80446.7279813645,11986.352313538893,3,6,9.946043531842136,0.012836003576144612,Not Specified,2,11.22996883120576,6.455560277639847,0.9852555845670026,Standard,1048.0099140642953,35.7180366596437,29.542290583267718,No,5.671786492784337,9.18412123803855,High_spent_Large_value_payments,504.5181630512368
October,18.707011365688707,Doctor,6627.4122204980085,1915.532858651511,6,5,16.682297771048916,5.98955933417244,"Mortgage Loan, Payday Loan, Student Loan, Home Equity Loan, and Personal Loan",17,15.322949335294792,11.100580219428913,11.468547061114917,Standard,1417.3690183557628,31.038753388452974,18.84768342862134,Yes,103.38375130239288,38.72025369359707,High_spent_Medium_value_payments,505.8453725707678
September,17.720591800353592,Entrepreneur,33223.79868467915,8057.387355996193,3,3,11.06797580467422,2.0096226865174223,"Student Loan, Mortgage Loan, Not Specified, Personal Loan, Home Equity Loan, and Auto Loan",14,4.394560284330106,7.179856360658011,3.2271872892886653,Good,1122.778720773192,35.29415806640462,23.515275607765773,No,639.3321886214496,90.46604809679808,!@9#%8,283.4073438766006
September,36.043004027890795,Accountant,53258.788595702295,8139.389913845063,2,3,8.186320347400326,2.0057503562466876,"Personal Loan, Credit-Builder Loan, Credit-Builder Loan, and Student Loan",2,8.02148265937172,8.746998812160697,3.460350885580452,Good,885.349185469526,36.121962352185335,26.197387877878317,No,61.84973539691317,157.95290974524622,Low_spent_Large_value_payments,258.7371177693634
September,39.66903458493927,Entrepreneur,30889.223844847347,859.6688578539078,4,3,8.166033975410912,-0.010199970732969181,Home Equity Loan,15,10.665536039870378,4.383514351938691,6.844201895425004,Standard,656.1284317185762,37.52784889839573,20.79061426328111,Yes,5.70352740029912,150.59752230573957,Low_spent_Small_value_payments,327.50788206734404
October,38.26368913825474,Writer,49908.39055004329,3071.3577409627414,4,6,8.367471661274292,7.003753148239199,"Mortgage Loan, Home Equity Loan, Not Specified, Credit-Builder Loan, and Auto Loan",14,9.08802940686313,8.74764381095882,15.235008959856458,Good,551.06432306284,39.81366383139262,18.922010942868297,No,235.34631893815308,38.20933273646438,High_spent_Small_value_payments,397.9430645094503
September,44.245130399031204,Doctor,98841.81890141453,11747.10465948412,2,6,8.64405800092015,-0.016025071375656008,Not Specified,5,10.85983806077526,0.6314959500414743,3.5183032838320503,Good,1201.1531918355156,38.761798830158774,33.74974013141135,No,-10.014022179752228,274.7095142465776,Low_spent_Medium_value_payments,395.17963517366945
December,27.576563521227683,Doctor,-13555.28983715039,2066.898834666472,6,9,19.3472215984021,5.988339713282506,"Payday Loan, Auto Loan, Not Specified, Mortgage Loan, Credit-Builder Loan, Mortgage Loan, Payday Loan, and Personal Loan",62,21.554436724657684,18.860785554354194,14.027330873772529,Standard,2686.7323895055674,36.62951762807467,7.6855543268683135,Yes,75.0334174462648,30.19826202706429,High_spent_Medium_value_payments,435.8382950804003
December,37.768993626484196,Developer,19754.787423377544,1490.2142422731788,4,5,14.414123771349248,6.974453609381583,"Auto Loan, Not Specified, Mortgage Loan, Credit-Builder Loan, and Payday Loan",20,16.294232649654838,7.038483447660952,7.451078511585144,Standard,972.8849924427169,32.24952175161177,13.49776260545634,NM,149.57488631940043,51.47380128741649,Low_spent_Medium_value_payments,380.3402316879528
October,19.1526254699534,Mechanic,92985.80095345798,6546.801068582029,1,7,7.515372100623998,1.9930055291250994,"Auto Loan, Payday Loan, and Student Loan",6,9.213933083999704,5.819786742322803,3.366804651359085,_,338.50434670572406,40.846049448713046,18.483082472553743,Yes,304.19405200476575,127.56893787275342,Low_spent_Large_value_payments,477.02199636146526
October,39.31106919504579,Musician,83625.95275095647,6896.850417234424,4,3,8.09991516761934,1.9924953834690322,"Auto Loan, Personal Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Student Loan, and Home Equity Loan",7,13.910212141753506,-0.2867485908343188,2.42569790734065,_,379.2140793110893,25.825329249819703,18.457648878913393,No,30.24533903179919,860.9419241460932,Low_spent_Large_value_payments,1166.458039493723
December,18.5548710679551,Developer,-6247.76850827405,3473.511116669345,6,5,10.407783242433208,5.996237800098869,"Home Equity Loan, Payday Loan, Personal Loan, Mortgage Loan, Auto Loan, Not Specified, and Auto Loan",13,19.12050105845999,15.285949815331366,10.473017435057264,_,2092.9017524438045,35.36895727199074,10.074548003325123,Yes,90.74960980560314,58.41603065853835,High_spent_Medium_value_payments,471.573515783316
October,33.71721006283396,Engineer,17806.384112282187,5796.7009195373375,4,6,9.887595448380802,3.9941656092868967,"Home Equity Loan, Debt Consolidation Loan, Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",10,13.890424405289986,17.644132624726726,11.59617516300733,Standard,1920.8393911040016,28.478240506880084,13.483787925184917,Yes,81.09407223383073,35.5663694915091,High_spent_Large_value_payments,478.2366144497936
November,38.46201518365253,Mechanic,54633.48475094063,2080.052512589411,2,4,7.363858842040246,4.014400696178075,"Debt Consolidation Loan, Personal Loan, Mortgage Loan, Credit-Builder Loan, and Home Equity Loan",1,2.0589204323152384,1.3833897553701715,10.422363955406299,Good,408.1418928782235,25.652200250890896,31.070697951934772,Yes,88.72050799798689,184.65373865866422,Low_spent_Medium_value_payments,77.1981905720447
September,24.296571342305025,Developer,44176.270891895445,4138.205512501997,5,5,10.920689950004185,2.00678993330943,"Home Equity Loan, Home Equity Loan, Home Equity Loan, Not Specified, and Mortgage Loan",9,9.392339708951347,8.605483143359889,3.767569384168741,Good,478.50614683334453,26.170309575802243,22.326161961856084,No,93.68199018520266,139.89329472513833,!@9#%8,690.2524988794678
September,19.260456861890045,Doctor,82568.31035554293,2884.0603773526764,1,4,5.8103403344453355,2.006782559091714,Not Specified,4,4.223439127837915,7.061450796383529,0.7613984806906445,Good,1262.4431657874882,30.304982310231715,19.92886143837861,No,54.293454284745295,131.07724999361793,High_spent_Small_value_payments,504.8290133911165
November,37.76954286630728,Entrepreneur,66643.49129581917,1742.7291704687157,2,6,11.153569162317327,-0.00041605282447699024,Not Specified,21,16.222142550057463,9.569574561922641,3.8085542989234344,_,852.3457818263711,33.01240525058874,33.024045597177185,Yes,503.32505589870584,54.68115471938941,!@9#%8,448.2061655017263
October,44.1811968561994,Lawyer,44962.08169640992,3047.3338349469595,4,3,10.288248623088325,2.0045002493869686,Mortgage Loan,13,19.10371216302714,8.61156956208121,4.043533530303509,Standard,1281.936522836474,26.260712183609407,17.41274780318606,Yes,861.005065460053,58.537962902221665,High_spent_Medium_value_payments,808.00730196592
December,28.13609397747999,Developer,63165.5075595734,5237.538120711191,6,6,18.9726092060908,3.9959128622009916,"Credit-Builder Loan, Student Loan, Credit-Builder Loan, and Home Equity Loan",18,18.483293932826765,8.322449853955293,7.241546102177671,_,1199.2568281922115,28.338584299769103,19.450839961429832,No,157.51932145077654,124.99948635759074,High_spent_Small_value_payments,369.71681536465326
October,29.65739083050262,Writer,15275.369238713603,2369.305369694408,9,9,21.46931966283762,9.023603918961184,"Student Loan, and Home Equity Loan",43,21.403916520079818,16.272950485374526,16.96081155949536,Bad,2909.5389759720115,23.648251450037332,3.867656558633003,Yes,85.83434488087117,150.22931855543655,High_spent_Small_value_payments,241.34942840374342
October,27.293120384390416,Accountant,45350.28588662902,5808.1456756306425,7,9,22.893233951361168,7.986720142691197,"Personal Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Not Specified, and Credit-Builder Loan",32,19.944591938933872,29.583750529193615,16.19640719365764,Bad,4272.4194631427445,33.87452336468296,2.4969719077226906,Yes,191.28997995546752,451.33374182047544,Low_spent_Medium_value_payments,121.71925211682313
October,19.910952656868062,Engineer,31190.930044676938,1639.8060980899374,6,7,21.85114250874005,7.953245557869316,"Debt Consolidation Loan, Home Equity Loan, and Auto Loan",20,23.514753191739242,2.3301601629346425,16.786545639224766,_,2407.318141596061,24.950109583695006,8.586906773142005,Yes,64.63549114216045,35.158218776808454,Low_spent_Medium_value_payments,277.2086083115576
October,51.62634144693372,Media_Manager,44821.96522586357,7052.059032704481,2,7,5.890756984626709,0.9939766060236257,"Personal Loan, Payday Loan, Personal Loan, Student Loan, Home Equity Loan, and Payday Loan",-3,2.6474854989180954,-0.0953446160347231,3.1133026398170256,Good,409.24839027504083,28.725088653330307,24.78582457606078,No,71.15086974362728,299.9422667804598,High_spent_Medium_value_payments,493.94628305324386
December,44.39936372494742,Manager,79739.78169894191,9686.65988522162,4,6,11.322676521238893,2.005851450964546,"Personal Loan, Personal Loan, Student Loan, Student Loan, Personal Loan, and Auto Loan",15,10.302001712849966,-4.350280834302939,6.466273897635798,Good,682.9379690803831,28.598622574542368,19.899984524758313,No,373.8847768627789,89.17429694044415,!@9#%8,354.36793549409236
November,47.790954024726545,Developer,61615.35137089522,3090.25252295604,2,2,5.455106719730467,0.010796132568247015,Not Specified,9,1.358703277951316,4.860916153409881,3.9026735744228547,Good,1346.4845731678954,39.461679647155826,30.172384742220498,No,22.21445052583966,111.62008408036641,High_spent_Medium_value_payments,466.58399419389093
November,38.47593930476949,Musician,14986.818090308465,1744.356405467179,7,4,13.281806776694294,0.005252201196030608,Not Specified,10,10.568004527661635,7.390750846334486,15.323909069102882,Standard,1390.9450281243105,25.071612185942076,18.906874729246425,Yes,3.2313748359852816,70.62025426916823,High_spent_Small_value_payments,449.1372638918924
December,40.18993913118593,Engineer,1862.6812606600797,1511.7487833650555,7,9,23.466032165858667,9.013671295750298,"Auto Loan, Student Loan, Mortgage Loan, and Personal Loan",49,21.36433483559613,9.678382822273477,12.267943556261153,Bad,4334.9603454370335,30.61134303280991,18.73274727956278,Yes,79.25167252214338,31.7657723697384,!@9#%8,286.91133203135934
October,27.472106223303847,Journalist,-1420.4200411450656,2491.5433432430455,9,5,21.952005082899348,7.981177291089487,"Credit-Builder Loan, and Payday Loan",43,17.959099718147364,10.359157074624898,7.292052859701864,Standard,1701.030433989491,29.690421559210677,7.7223236299406235,Yes,64.75969924971892,57.99683777788208,!@9#%8,320.32588690975575
October,31.51303377853173,Engineer,7396.967052056112,1365.5947952640533,6,9,23.570288413324,8.993542207738525,"Student Loan, Student Loan, and Home Equity Loan",36,20.826560185455126,25.41231593391612,17.84646652892826,Bad,4539.986257584401,34.903913883194434,4.009228160031995,Yes,70.79775393101335,54.863118449784665,Low_spent_Medium_value_payments,299.0537401265001
