Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
11/03/2004,09.00.00,2.2,1351.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.587617735611275,60.6,0.7691
11/03/2004,10.00.00,1.7,1233.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.66905993106775,58.4,0.7552
11/03/2004,11.00.00,1.5,1179.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.240457511506975,57.9,0.7352
11/03/2004,12.00.00,1.6,1236.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.482388207456097,66.8,0.7951
11/03/2004,13.00.00,1.9,1286.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.411264026886784,76.4,0.8393
11/03/2004,14.00.00,2.9,1371.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,7.878207909147022,81.1,0.8736
11/03/2004,15.00.00,2.2,1310.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.315370958123822,79.8,0.8778
11/03/2004,16.00.00,2.2,1292.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.623470005346462,71.2,0.8569
11/03/2004,17.00.00,2.9,1383.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.768409045471344,67.6,0.8185
11/03/2004,18.00.00,4.8,1581.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.316836835196227,64.2,0.8065
11/03/2004,19.00.00,6.9,1776.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.699364765856439,69.3,0.8319
11/03/2004,20.00.00,6.1,1640.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.583823291970475,67.8,0.8133
11/03/2004,21.00.00,3.9,1313.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,8.848234600271098,64.0,0.7419
11/03/2004,22.00.00,1.5,965.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.17920491588302,63.4,0.6905
11/03/2004,23.00.00,1.0,913.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.282445546429866,60.8,0.6657
12/03/2004,00.00.00,1.7,1080.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.347187347244471,58.5,0.6438
12/03/2004,01.00.00,1.9,1044.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.747461336432025,59.7,0.6308
12/03/2004,02.00.00,1.4,988.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.2077840007841,61.8,0.6276
12/03/2004,05.00.00,0.6,847.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.38229186339679,65.0,0.6233
12/03/2004,06.00.00,0.8,927.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.899566896477942,62.9,0.6234
12/03/2004,07.00.00,1.4,1091.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.309000322129577,65.1,0.6316
12/03/2004,08.00.00,4.4,1587.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.788525128504261,63.1,0.6499
12/03/2004,10.00.00,3.1,1350.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.762227655155584,41.7,0.632
12/03/2004,11.00.00,2.7,1263.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.31385300355032,38.4,0.6243
12/03/2004,12.00.00,2.1,1206.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,14.778528879891383,36.5,0.6195
12/03/2004,13.00.00,2.5,1252.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.160801430232823,34.5,0.6262
12/03/2004,14.00.00,2.7,1287.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.372574449749663,35.7,0.656
12/03/2004,15.00.00,2.9,1353.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,16.23955704085529,37.0,0.661
12/03/2004,16.00.00,2.8,1309.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.821333011845127,37.2,0.6657
12/03/2004,17.00.00,2.4,1274.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.99673696910031,34.3,0.6549
12/03/2004,18.00.00,3.9,1510.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.418365459889174,39.6,0.6766
12/03/2004,19.00.00,3.7,1525.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.632621861062944,43.4,0.7084
12/03/2004,20.00.00,6.6,1843.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.914784940306618,50.5,0.7478
12/03/2004,21.00.00,4.4,1598.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.37519108725246,53.3,0.7536
12/03/2004,22.00.00,3.5,1484.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.10265094350325,59.1,0.774
12/03/2004,23.00.00,5.4,1677.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.879273364393157,64.6,0.7771
13/03/2004,00.00.00,2.7,1280.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.668750981334597,64.1,0.7597
13/03/2004,01.00.00,1.9,1196.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.227884747786447,63.9,0.7423
13/03/2004,02.00.00,1.6,1184.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.666041824035347,63.9,0.7256
13/03/2004,05.00.00,1.0,978.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.242464258129493,63.6,0.6982
13/03/2004,06.00.00,1.2,1100.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2296868958648215,67.5,0.6887
13/03/2004,07.00.00,1.5,1112.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.506355257704854,71.9,0.6932
13/03/2004,08.00.00,2.7,1336.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.703139068093151,71.6,0.6945
13/03/2004,09.00.00,3.7,1408.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.73395209084265,59.7,0.7124
13/03/2004,10.00.00,3.2,1447.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.500418895389885,51.2,0.7335
13/03/2004,11.00.00,4.1,1542.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.82702783982677,42.2,0.7451
13/03/2004,12.00.00,3.6,1451.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.617114536464214,33.8,0.709
13/03/2004,13.00.00,2.8,1328.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.33165749302134,31.3,0.695
13/03/2004,14.00.00,2.0,1207.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.020879121962935,34.8,0.7127
13/03/2004,15.00.00,2.0,1240.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,17.91243923373986,33.6,0.7042
13/03/2004,16.00.00,2.5,1306.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.15498166164616,35.1,0.7012
13/03/2004,17.00.00,2.3,1326.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.527876605279744,37.8,0.7117
13/03/2004,18.00.00,3.2,1473.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.30137756644399,41.0,0.7451
13/03/2004,19.00.00,4.2,1609.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.973480681306683,42.4,0.7569
13/03/2004,20.00.00,4.2,1611.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.618817530397791,44.1,0.7786
13/03/2004,21.00.00,4.2,1621.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.256160093878862,46.8,0.8091
13/03/2004,22.00.00,3.1,1444.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.570148848521058,48.6,0.806
13/03/2004,23.00.00,2.6,1418.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.369809257332236,49.3,0.8193
14/03/2004,00.00.00,2.9,1534.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.899596048053354,53.6,0.8498
14/03/2004,01.00.00,2.8,1484.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.437774286605418,51.5,0.8536
14/03/2004,02.00.00,2.5,1367.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.47718693758361,58.9,0.8537
14/03/2004,05.00.00,1.2,1062.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.467377353459597,63.1,0.8533
14/03/2004,06.00.00,1.0,1076.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.533059594221413,62.2,0.8473
14/03/2004,07.00.00,0.9,1028.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.36512509197928,67.6,0.853
14/03/2004,08.00.00,1.4,1155.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.405451035359874,62.7,0.853
14/03/2004,09.00.00,1.6,1235.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.345686031738296,60.0,0.8627
14/03/2004,10.00.00,2.2,1332.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.497113805264235,53.1,0.8728
14/03/2004,11.00.00,2.8,1445.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.679943725001067,46.1,0.8789
14/03/2004,12.00.00,2.8,1416.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.214500426780432,38.3,0.8474
14/03/2004,13.00.00,2.0,1281.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,20.812276748823933,31.4,0.7812
14/03/2004,14.00.00,1.8,1207.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.30691230017692,30.2,0.7616
14/03/2004,15.00.00,1.9,1258.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.835713208653033,29.0,0.7525
14/03/2004,16.00.00,3.0,1458.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.17224545206409,28.4,0.7516
14/03/2004,17.00.00,2.9,1438.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.35060802847147,30.8,0.7696
14/03/2004,18.00.00,2.5,1478.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.523280940484256,36.7,0.8307
14/03/2004,19.00.00,4.6,1808.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.47050438716542,41.7,0.8732
14/03/2004,20.00.00,5.9,1898.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.65833754599589,46.1,0.921
14/03/2004,21.00.00,3.4,1560.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.340636818436906,49.6,0.932
14/03/2004,22.00.00,2.1,1324.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.100613347254694,51.0,0.9341
14/03/2004,23.00.00,2.2,1349.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.687531085219234,55.9,0.9314
15/03/2004,00.00.00,1.8,1239.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.731904350337572,54.7,0.9164
15/03/2004,01.00.00,1.8,1239.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,13.928367833577795,57.0,0.9094
15/03/2004,02.00.00,1.8,1224.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.136291361413896,61.3,0.9361
15/03/2004,05.00.00,1.0,1075.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.80661180918105,67.4,0.9375
15/03/2004,06.00.00,1.4,1157.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.276559698861092,70.5,0.9475
15/03/2004,07.00.00,2.2,1314.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.148056404315867,70.2,0.9401
15/03/2004,08.00.00,5.5,1797.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.400030248182864,63.9,0.917
15/03/2004,09.00.00,8.1,1961.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.800158480766981,54.3,0.9076
15/03/2004,10.00.00,5.8,1771.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.469770620837444,45.6,0.8993
15/03/2004,11.00.00,4.2,1564.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.72886199378263,38.5,0.8801
15/03/2004,12.00.00,3.1,1430.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,21.791224510991015,34.1,0.8904
15/03/2004,13.00.00,2.9,1417.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.389097109553404,32.2,0.9096
15/03/2004,14.00.00,2.9,1400.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.961096461804118,30.0,0.8757
15/03/2004,15.00.00,2.5,1317.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.389949047239497,28.9,0.8736
15/03/2004,16.00.00,2.3,1318.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.340827553067356,29.4,0.8848
15/03/2004,17.00.00,2.8,1445.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.882857705524657,31.3,0.9137
15/03/2004,18.00.00,6.1,1917.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.500039337092574,35.4,0.9547
15/03/2004,19.00.00,8.0,2040.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.39997194529798,42.5,1.0086
15/03/2004,20.00.00,6.5,1895.0,31.0,1573.0,320.0,565.0,165.0,2443.0,1992.0,18.297739209624524,52.6,1.0945
15/03/2004,21.00.00,4.2,1595.0,19.9,1294.0,256.0,678.0,145.0,2058.0,1707.0,16.379938937854604,57.4,1.0786
15/03/2004,22.00.00,3.2,1439.0,15.3,1159.0,193.0,764.0,125.0,1856.0,1494.0,15.64107826212421,60.2,1.0654
15/03/2004,23.00.00,1.4,1142.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.210436660679989,61.4,1.058
16/03/2004,00.00.00,2.1,1304.0,11.1,1019.0,127.0,852.0,103.0,1731.0,1272.0,14.0228081868554,65.7,1.0494
16/03/2004,01.00.00,1.2,1074.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.794027313124388,60.6,1.0148
16/03/2004,02.00.00,0.8,968.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.720250089187175,59.2,0.9879
16/03/2004,05.00.00,0.6,937.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.716759228613228,63.2,0.9283
16/03/2004,06.00.00,0.9,1017.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,10.982800802681595,68.5,0.9081
16/03/2004,07.00.00,1.3,1171.0,5.1,770.0,99.0,1162.0,70.0,1467.0,930.0,10.818753861356527,66.5,0.8705
16/03/2004,08.00.00,3.4,1541.0,16.2,1185.0,263.0,770.0,97.0,1889.0,1407.0,11.737030308664544,63.7,0.8719
16/03/2004,09.00.00,3.7,1539.0,19.7,1287.0,229.0,698.0,95.0,2055.0,1507.0,13.694251866574632,56.3,0.8743
16/03/2004,10.00.00,5.3,1735.0,25.1,1431.0,396.0,628.0,150.0,2211.0,1843.0,17.81495525373532,42.9,0.8672
16/03/2004,11.00.00,4.1,1571.0,20.0,1297.0,314.0,730.0,162.0,1973.0,1729.0,21.215885624173097,33.3,0.8417
16/03/2004,12.00.00,3.3,1452.0,18.3,1250.0,217.0,776.0,154.0,1868.0,1583.0,24.041098914807662,27.4,0.8231
16/03/2004,13.00.00,4.0,1579.0,22.3,1359.0,252.0,724.0,161.0,1998.0,1671.0,25.372890449361876,26.1,0.8264
16/03/2004,14.00.00,3.8,1466.0,20.4,1309.0,263.0,773.0,161.0,1897.0,1491.0,26.02044235158246,23.2,0.7589
16/03/2004,15.00.00,2.8,1280.0,14.6,1136.0,180.0,893.0,128.0,1675.0,1240.0,27.122890854487196,20.2,0.7094
16/03/2004,16.00.00,2.9,1407.0,16.6,1197.0,184.0,905.0,129.0,1759.0,1313.0,28.0971380128467,18.6,0.7014
16/03/2004,17.00.00,2.9,1389.0,15.8,1173.0,190.0,898.0,133.0,1739.0,1363.0,27.99306992389029,19.1,0.7098
16/03/2004,18.00.00,3.4,1447.0,17.8,1235.0,184.0,859.0,139.0,1778.0,1296.0,23.86744337316486,25.7,0.7519
16/03/2004,19.00.00,3.9,1551.0,19.1,1271.0,181.0,800.0,137.0,1875.0,1432.0,21.18851664091926,34.8,0.873
16/03/2004,20.00.00,3.2,1474.0,15.8,1173.0,166.0,854.0,143.0,1776.0,1432.0,20.414273147514905,36.7,0.8704
16/03/2004,21.00.00,5.1,1800.0,24.9,1426.0,317.0,700.0,177.0,2106.0,2034.0,18.984175700461492,41.3,0.9007
16/03/2004,22.00.00,2.6,1379.0,13.5,1101.0,184.0,818.0,138.0,1710.0,1602.0,17.871932266745716,45.9,0.9342
16/03/2004,23.00.00,1.7,1201.0,9.1,943.0,130.0,935.0,117.0,1560.0,1362.0,16.61540059192339,48.9,0.9226
17/03/2004,00.00.00,1.7,1205.0,8.6,925.0,132.0,922.0,107.0,1547.0,1314.0,15.436480535718147,52.9,0.9271
17/03/2004,01.00.00,1.2,1072.0,5.4,784.0,95.0,1066.0,90.0,1442.0,1114.0,15.378233851515688,51.9,0.9059
17/03/2004,02.00.00,0.9,998.0,4.1,714.0,70.0,1169.0,79.0,1383.0,992.0,13.963193814503029,55.6,0.891
17/03/2004,05.00.00,0.5,869.0,1.6,554.0,28.0,1460.0,40.0,1268.0,667.0,11.68028635541963,58.0,0.8026
17/03/2004,06.00.00,0.5,891.0,1.9,576.0,46.0,1417.0,53.0,1289.0,733.0,11.760040770465245,57.4,0.7978
17/03/2004,07.00.00,1.6,1173.0,7.5,878.0,160.0,1038.0,84.0,1556.0,1052.0,9.961485324485693,65.2,0.7956
17/03/2004,08.00.00,4.1,1587.0,21.4,1334.0,320.0,702.0,108.0,1999.0,1534.0,11.394045809051022,60.2,0.7958
17/03/2004,09.00.00,6.6,1852.0,36.4,1696.0,377.0,553.0,127.0,2535.0,1931.0,14.10217701080876,50.0,0.802
17/03/2004,10.00.00,4.3,1522.0,21.3,1331.0,280.0,703.0,134.0,2026.0,1734.0,17.868387582246214,40.1,0.8048
17/03/2004,11.00.00,2.9,1438.0,15.4,1161.0,221.0,819.0,135.0,1782.0,1595.0,20.94230732577853,33.4,0.8265
17/03/2004,12.00.00,2.5,1393.0,12.5,1067.0,210.0,905.0,142.0,1654.0,1490.0,24.335683682584204,28.3,0.8471
17/03/2004,13.00.00,2.8,1452.0,15.1,1152.0,204.0,861.0,153.0,1747.0,1508.0,25.5138782428985,25.6,0.8254
17/03/2004,14.00.00,2.6,1389.0,13.7,1108.0,161.0,887.0,123.0,1712.0,1334.0,25.832242321921512,25.9,0.8503
17/03/2004,15.00.00,2.0,1207.0,10.4,994.0,135.0,1013.0,104.0,1520.0,1045.0,27.067260649288073,18.7,0.65
17/03/2004,16.00.00,2.9,1365.0,15.2,1154.0,186.0,940.0,129.0,1679.0,1221.0,29.64974353928119,15.8,0.6309
17/03/2004,17.00.00,2.5,1247.0,12.3,1060.0,147.0,1032.0,114.0,1525.0,1069.0,28.744679613562766,14.9,0.5708
17/03/2004,18.00.00,5.0,1557.0,27.0,1478.0,299.0,793.0,158.0,1981.0,1569.0,25.936762619618094,16.0,0.5237
17/03/2004,19.00.00,7.6,1973.0,38.4,1737.0,411.0,617.0,194.0,2414.0,2306.0,23.1000794153054,26.5,0.7403
17/03/2004,20.00.00,6.7,1975.0,35.1,1667.0,347.0,597.0,182.0,2416.0,2359.0,20.49909619157961,38.2,0.9133
17/03/2004,21.00.00,5.7,1795.0,27.2,1485.0,336.0,653.0,180.0,2174.0,2050.0,19.096277433272917,42.6,0.9294
17/03/2004,22.00.00,2.8,1444.0,15.0,1150.0,202.0,770.0,136.0,1727.0,1727.0,17.103149764356203,44.1,0.8558
17/03/2004,23.00.00,2.6,1488.0,15.7,1171.0,178.0,731.0,127.0,1778.0,1705.0,15.789083288400434,50.9,0.9206
18/03/2004,00.00.00,2.3,1371.0,13.0,1083.0,154.0,796.0,116.0,1669.0,1551.0,14.791549335699528,53.9,0.9024
18/03/2004,01.00.00,1.4,1161.0,8.1,904.0,92.0,947.0,107.0,1502.0,1240.0,14.122733895201236,55.4,0.8975
18/03/2004,02.00.00,1.0,1064.0,5.5,787.0,61.0,1057.0,88.0,1407.0,1115.0,14.54175191745162,52.1,0.8686
18/03/2004,05.00.00,0.6,931.0,2.5,623.0,37.0,1293.0,57.0,1307.0,828.0,11.874079215340295,58.9,0.8233
18/03/2004,06.00.00,0.7,938.0,3.0,650.0,68.0,1251.0,71.0,1333.0,893.0,10.878263120306656,62.1,0.8113
18/03/2004,07.00.00,1.5,1166.0,7.7,885.0,139.0,1005.0,85.0,1551.0,1075.0,10.618259524053428,63.3,0.8067
18/03/2004,08.00.00,4.7,1643.0,23.3,1384.0,339.0,667.0,124.0,2094.0,1610.0,11.572291756958293,60.0,0.8117
18/03/2004,09.00.00,6.6,1934.0,35.8,1682.0,421.0,541.0,151.0,2468.0,2051.0,14.299193715887611,50.6,0.8186
18/03/2004,10.00.00,4.5,1617.0,21.3,1333.0,349.0,686.0,150.0,2010.0,1819.0,18.036065579974093,40.5,0.821
18/03/2004,11.00.00,2.8,1473.0,14.3,1127.0,224.0,831.0,152.0,1752.0,1568.0,20.68052155285841,34.4,0.8365
18/03/2004,12.00.00,2.2,1379.0,12.5,1068.0,171.0,899.0,139.0,1663.0,1374.0,23.913790804566815,28.2,0.8219
18/03/2004,13.00.00,2.2,1385.0,12.2,1056.0,149.0,891.0,133.0,1648.0,1268.0,24.05474336387124,28.7,0.8515
18/03/2004,14.00.00,2.3,1379.0,13.1,1087.0,137.0,901.0,126.0,1660.0,1144.0,25.32847272150684,24.9,0.7829
18/03/2004,15.00.00,2.2,1322.0,14.4,1129.0,149.0,934.0,128.0,1639.0,1109.0,27.348613112582825,17.8,0.6275
18/03/2004,16.00.00,2.8,1496.0,16.8,1205.0,172.0,822.0,169.0,1767.0,1347.0,26.914962819573702,23.1,0.818
18/03/2004,17.00.00,2.7,1409.0,14.5,1131.0,166.0,873.0,149.0,1689.0,1206.0,25.972368098096922,23.9,0.7832
18/03/2004,18.00.00,3.7,1513.0,21.5,1338.0,214.0,764.0,156.0,1957.0,1397.0,23.269270043529104,26.8,0.7446
18/03/2004,19.00.00,5.1,1667.0,26.4,1464.0,280.0,683.0,168.0,2118.0,1588.0,20.726117473299382,31.1,0.7523
18/03/2004,20.00.00,5.1,1667.0,26.0,1453.0,276.0,684.0,176.0,2051.0,1569.0,18.717714350583265,36.2,0.7676
18/03/2004,21.00.00,3.2,1430.0,14.1,1121.0,178.0,814.0,135.0,1732.0,1322.0,16.07986393547617,48.4,0.8768
18/03/2004,22.00.00,2.1,1333.0,10.3,989.0,129.0,885.0,121.0,1621.0,1194.0,14.315662143519148,57.8,0.9456
18/03/2004,23.00.00,1.7,1262.0,8.3,911.0,95.0,948.0,99.0,1545.0,1062.0,13.005494192184415,64.2,0.9606
19/03/2004,00.00.00,2.0,1287.0,8.9,936.0,126.0,918.0,106.0,1606.0,1040.0,11.775986251421273,69.7,0.9735
19/03/2004,01.00.00,1.6,1134.0,6.6,840.0,103.0,1021.0,96.0,1501.0,917.0,11.871439637150615,71.1,0.9915
19/03/2004,02.00.00,0.9,999.0,3.6,688.0,48.0,1229.0,63.0,1380.0,594.0,12.51877248683013,69.3,1.0029
19/03/2004,05.00.00,0.5,913.0,1.3,525.0,18.0,1620.0,28.0,1260.0,370.0,12.399621626941869,66.8,0.962
19/03/2004,06.00.00,0.7,969.0,2.3,607.0,56.0,1373.0,61.0,1324.0,438.0,12.323366998229176,66.3,0.9487
19/03/2004,07.00.00,1.5,1182.0,6.7,845.0,115.0,1054.0,99.0,1539.0,704.0,12.394433574634604,64.9,0.9332
19/03/2004,08.00.00,4.8,1740.0,22.8,1372.0,320.0,671.0,157.0,2144.0,1476.0,13.094451531243976,61.6,0.9209
19/03/2004,09.00.00,6.2,1819.0,31.3,1582.0,357.0,575.0,166.0,2456.0,1716.0,13.603736775254333,58.8,0.912
19/03/2004,10.00.00,4.0,1427.0,19.2,1275.0,253.0,701.0,149.0,1980.0,1398.0,13.954266636515968,57.1,0.9032
19/03/2004,11.00.00,3.3,1390.0,16.4,1191.0,218.0,759.0,135.0,1879.0,1268.0,14.28724448691355,54.4,0.8917
19/03/2004,12.00.00,2.8,1283.0,14.0,1117.0,192.0,813.0,127.0,1751.0,1188.0,15.255818238772918,50.1,0.8744
19/03/2004,13.00.00,3.0,1304.0,15.3,1157.0,176.0,793.0,122.0,1801.0,1171.0,15.98905258916784,47.6,0.8655
19/03/2004,14.00.00,3.3,1364.0,16.7,1202.0,198.0,771.0,135.0,1875.0,1250.0,16.12297309981659,47.1,0.864
19/03/2004,15.00.00,3.5,1410.0,19.0,1268.0,212.0,724.0,139.0,1957.0,1344.0,16.333321532176342,47.5,0.8791
19/03/2004,16.00.00,4.0,1476.0,19.4,1280.0,249.0,708.0,147.0,1955.0,1378.0,16.084137619065586,50.2,0.9094
19/03/2004,17.00.00,4.6,1522.0,20.9,1320.0,270.0,690.0,158.0,2005.0,1435.0,16.062694132095203,50.7,0.9142
19/03/2004,18.00.00,4.1,1442.0,20.2,1301.0,231.0,704.0,146.0,1952.0,1372.0,15.860166319995187,50.3,0.8989
